Race,Expansion,Uninsured,Medicaid/Other Public,Employer/Other Private
White,Non-expansion States,9.6%,17.1%,73.3%
Hispanic,Non-expansion States,24.6%,25.3%,50.1%
Black,Non-expansion States,12.9%,33.1%,54.0%
Asian,Non-expansion States,9.2%,11.3%,79.5%
AIAN,Non-expansion States,17.1%,33.3%,49.6%
NHPI,Non-expansion States,24.8%,18.1%,57.1%
White,Expansion States,5.5%,20.7%,73.9%
Hispanic,Expansion States,14.5%,37.3%,48.1%
Black,Expansion States,7.6%,41.5%,50.9%
Asian,Expansion States,5.0%,19.5%,75.5%
AIAN,Expansion States,18.9%,44.3%,36.8%
NHPI,Expansion States,11.0%,34.9%,54.1%
