Abbr,Value_character
AL,Not Adopted
AK,Adopted
AZ,Adopted
AR,Adopted
CA,Adopted
CO,Adopted
CT,Adopted
DE,Adopted
DC,Adopted
FL,Not Adopted
GA,Not Adopted
HI,Adopted
ID,Adopted
IL,Adopted
IN,Adopted
IA,Adopted
KS,Not Adopted
KY,Adopted
LA,Adopted
ME,Adopted
MD,Adopted
MA,Adopted
MI,Adopted
MN,Adopted
MS,Not Adopted
MO,Adopted
MT,Adopted
NE,Adopted
NV,Adopted
NH,Adopted
NJ,Adopted
NM,Adopted
NY,Adopted
NC,Adopted
ND,Adopted
OH,Adopted
OK,Adopted
OR,Adopted
PA,Adopted
RI,Adopted
SC,Not Adopted
SD,Adopted
TN,Not Adopted
TX,Not Adopted
UT,Adopted
VT,Adopted
VA,Adopted
WA,Adopted
WV,Adopted
WI,Not Adopted
WY,Not Adopted
