State,Uninsured Rate,Medicaid Expansion
ALABAMA,10.2%,Not Adopted
ALASKA,12.1%,Adopted
ARIZONA,12.0%,Adopted
ARKANSAS,11.0%,Adopted
CALIFORNIA,7.4%,Adopted
COLORADO,7.8%,Adopted
CONNECTICUT,6.7%,Adopted
DELAWARE,8.5%,Adopted
DISTRICT OF COLUMBIA,3.0%,Adopted
FLORIDA,13.4%,Not Adopted
GEORGIA,13.3%,Not Adopted
HAWAII,3.5%,Adopted
IDAHO,10.9%,Adopted
ILLINOIS,7.3%,Adopted
INDIANA,8.1%,Adopted
IOWA,6.1%,Adopted
KANSAS,10.0%,Not Adopted
KENTUCKY,6.7%,Adopted
LOUISIANA,8.3%,Adopted
MAINE,7.7%,Adopted
MARYLAND,7.5%,Adopted
MASSACHUSETTS,3.1%,Adopted
MICHIGAN,5.4%,Adopted
MINNESOTA,4.8%,Adopted
MISSISSIPPI,12.6%,Not Adopted
MISSOURI,9.1%,Adopted
MONTANA,10.6%,Adopted
NEBRASKA,7.5%,Adopted
NEVADA,12.6%,Adopted
NEW HAMPSHIRE,5.7%,Adopted
NEW JERSEY,8.4%,Adopted
NEW MEXICO,11.0%,Adopted
NEW YORK,5.8%,Adopted
NORTH CAROLINA,11.0%,Adopted
NORTH DAKOTA,4.9%,Adopted
OHIO,7.4%,Adopted
OKLAHOMA,13.5%,Adopted
OREGON,6.7%,Adopted
PENNSYLVANIA,6.6%,Adopted
RHODE ISLAND,5.3%,Adopted
SOUTH CAROLINA,11.1%,Not Adopted
SOUTH DAKOTA,10.4%,Adopted
TENNESSEE,11.1%,Not Adopted
TEXAS,18.6%,Not Adopted
UTAH,8.7%,Adopted
VERMONT,4.3%,Adopted
VIRGINIA,7.6%,Adopted
WASHINGTON,7.5%,Adopted
WEST VIRGINIA,7.5%,Adopted
WISCONSIN,5.9%,Not Adopted
WYOMING,12.9%,Not Adopted
